,title,price,condition,Screen Size,Color,RAM Size,SSD Capacity,Processor Speed,Brand,Maximum Resolution,Hard Drive Capacity,Storage Type,Processor_Brand,Processor_Series,Processor_Subseries,Processor_Generation,has_GPU,os_type
135,lenovo - yoga 7i 14 2-in-1 14in touch-screen laptop - 82bh0004us,349.99,used,14.0,gray,12.0,512.0,2.4,lenovo,1920x1080,,ssd,intel,core,i5,11.0,1,windows
136,"dell inspiron 14z 5423 14"" i7-3517u, 8gb ram, 32gb ssd, 240hdd, windows 11 pro",28.0,used,14.0,gray,8.0,32.0,1.9,dell,1366x768,240.0,ssd,intel,core,i7,3.0,1,windows
137,asus vivobook tp412fa-ws31t core i3 10th gen  128gb ssd ram,172.5,used,14.0,missing,,,,asus,missing,,missing,intel,core,i3,10.0,0,missing
138,dell latitude e5470 laptop boots intel core i5-6440hq @ 2.60ghz 8gb ram no hdd,72.0,used,14.0,missing,,,,dell,missing,,missing,intel,core,i5,6.0,0,missing
139,"asus rog zephyrus m16 gu603 16"" 2022 fhd 2.5ghz i9-12900h 16gb 1tb - rtx 3070 ti",1499.99,excellent - refurbished,16.0,black,,1000.0,2.5,asus,missing,,ssd,intel,core,i9,12.0,0,windows
140,"lenovo yoga 260 2-in-1 14"" fhd i7-6500u@2.50 ghz 16gb ram 256gb m.2 i 28471wk",102.0,used,14.0,black,16.0,256.0,2.5,lenovo,1920x1080,256.0,ssd,intel,core,i7,6.0,0,linux
141,"msi prestige 14evo 14"" fhd intel core i7-1195g7  32 gb ram 1tb ssd",545.0,used,14.0,black,16.0,1000.0,2.9,msi,1920x1080,1000.0,ssd,intel,core,i7,11.0,1,windows
142,"2020 dell g7 15 7500 i9-10885h 32gb 1tb ssd 15.6"" uhd 4k oled rtx 2070 w10 pro",1419.0,certified - refurbished,15.6,black,32.0,1000.0,2.4,dell,3840x2160,,ssd,intel,core,i9,10.0,1,windows
143,macbook pro a1398 2013 laptop core i7-3720 @ 2.60ghz 16gb ram 250gb ssd (lpc33),199.0,used,15.5,missing,16.0,250.0,2.6,lenovo,missing,250.0,ssd,intel,core,i7,3.0,0,missing
144,hp pavilion gaming 15-ec1073dx ryzen 5 4600h 16gb ram 512gb + 256gb ssd gtx 1650,509.95,used,15.6,black,16.0,512.0,3.0,hp,1920x1080,512.0,ssd,amd,ryzen,5,,1,windows
145,"getax s410 g2 14"" i5-8250u 8gb ram 512gb ssd rugged laptop windows 11 pro",399.0,used,14.0,black,8.0,512.0,1.6,getac,1366x786,512.0,ssd,intel,core,i5,8.0,1,windows
146,"lenovo thinkpad e14 gen 2 14"" intel core i5-1135g7 2.40ghz 16gb 1tb ssd  #17",329.0,used,14.0,black,16.0,1000.0,2.4,lenovo,1920x1080,1000.0,ssd,intel,core,i5,11.0,1,windows
147,hp elitebook 840 g6 laptop boots core i5-8265u @1.6ghz 8gb ddr4 ram no os no ssd,119.5,used,14.0,missing,,,,hp,missing,,missing,intel,core,i5,8.0,0,missing
148,dell latitude e5470 i5-6440hq 2.6ghz 128gb ssd 8gb win11pro pc laptop no battery,60.0,used,14.0,missing,8.0,128.0,2.6,dell,missing,,ssd,intel,core,i5,6.0,0,windows
149,"dell latitude e6430 (core i5-3320m, 2.6 ghz, 4gb ram) (no os, no hdd) grade b",26.0,used,14.0,black,4.0,,2.6,dell,1366x768,,missing,intel,core,i5,3.0,1,no os
150,"hp pavilion dv7-6b77dx 17.3"" laptop intel core i7 processor 6gb ram 640gb hd",174.99,used,17.3,missing,6.0,,,hp,missing,640.0,missing,intel,core,i7,,0,missing
151,asus vivobook tp412fa-ws31t core i3 10th gen  128gb ssd ram,182.5,used,14.0,missing,,,,asus,missing,,missing,intel,core,i3,10.0,0,missing
152,"getax s410 g2 14""  touch i5-8250u 8gb ram 512gb ssd rugged  windows 11 pro",399.0,used,14.0,black,8.0,512.0,1.6,getac,1366x786,512.0,ssd,intel,core,i5,8.0,1,windows
153,"getax s410 g2 14"" i5-8250u 8gb ram 512gb ssd rugged laptop notebook",429.0,used,14.0,black,8.0,512.0,1.6,getac,1366x786,512.0,ssd,intel,core,i5,8.0,1,windows
154,getac s410 6th gen core i5 2.4ghz 8gb 512gb ssd rugged touch  win10 touch 4g lte,299.0,used,14.1,black,8.0,512.0,2.4,getac,1366x768,512.0,ssd,intel,core,i5,6.0,0,windows
155,"lenovo thinkpad e14 gen 2 14"" intel core i5-1135g7 - 1tb ssd-  2.40ghz 16gb  #19",309.0,used,14.0,black,16.0,1000.0,2.4,lenovo,1920x1080,1000.0,ssd,intel,core,i5,11.0,1,windows
156,"dell precision 7530 laptop 6core  i7-8850h  ,32gb ram, 512 ssd,nvidia p2000,",429.0,used,15.6,black,32.0,512.0,2.2,dell,1920x1080,,ssd,intel,core,i7,8.0,1,windows
157,"dell precision 7530  6core  i7-8850h  ,32gb ram, 512 ssd m.2 ,nvidia p2000,",439.0,used,15.6,black,32.0,512.0,2.2,dell,1920x1080,,ssd,intel,core,i7,8.0,1,windows
158,"dell precision 5540 6core  i7-9850h  32gb 512gb ssd ,4gb gpu t2000 gaming laptop",499.0,used,15.6,black,32.0,512.0,2.6,dell,1920x1080,512.0,ssd,intel,core,i7,9.0,1,windows
159,"dell latitude 5420 14"" fhd i5-1145g7 16gb ram 512gb ssd ir webcam win 11 pro",325.0,used,14.0,silver,16.0,512.0,4.4,dell,1920x1080,512.0,ssd,intel,core,i5,11.0,1,windows
160,dell latitude e5540 core i5 4200u 1.6ghz 8gb ram 320gb hdd 15.6'' no os laptop,40.0,used,15.6,missing,8.0,,1.6,dell,missing,320.0,missing,intel,core,i5,4.0,0,no os
161,"thomson neo 10.1"" intel atom x5 1.44ghz 4gb 64gb emmc read",39.99,used,10.1,black,4.0,64.0,1.44,thomson,1024x600,,emmc,intel,atom,x5,,1,windows
162,"dell latitude e7470 intel core i7-6650u 2.2ghz 16gb ram no ssd 14"" fhd",108.05,used,14.0,missing,,0.0,2.2,dell,missing,0.0,no drive,intel,core,i7,6.0,0,no os
163,"dell latitude 3590 15.6"" fhd core i5-8250u 1.60ghz 8gb 120gb ssd laptop",99.0,used,15.6,missing,8.0,128.0,1.6,dell,1920x1080,,ssd,intel,core,i5,8.0,1,windows
164,hp elitebook 8570p intel core i7-3520m @2.9ghz 8gb ram no hdd,67.0,used,15.6,missing,8.0,,2.9,hp,1600x900,,no drive,intel,core,i7,3.0,0,no os
165,alienware laptop m18xr1 with power cord and alienware backpack,400.0,used,18.4,black,8.0,,2.4,alienware,missing,688.0,hdd,intel,core,i7,,0,windows
166,"asus tuf dash f15 15.6"" laptop 512gb ssd 16gb ram core i7-12650h rtx 3060 (q2)",660.0,used,15.6,black,,512.0,,asus,missing,,missing,intel,core,i7,12.0,1,missing
167,dell latitude e5470 laptop boots core i5-6440hq @2.6 8gb ram no hdd no os,53.0,used,14.0,missing,,,,dell,missing,,missing,intel,core,i5,6.0,0,missing
168,dell inspiron 5570 laptop boots intel core i7-8550u amd 530 32gb ram 500gb ssd,162.5,used,15.6,missing,,,,dell,missing,,missing,intel,core,i7,8.0,0,missing
169,dell latitude 5300 13.3” touchscreen laptop i5-8365u 8gb ram 256gb ssd w/adapter,149.99,used,13.3,missing,8.0,256.0,1.6,dell,1920x1080,,ssd,intel,core,i5,8.0,1,windows
170,asus vivobook 17 core i5 10th gen 128gb ssd 8gb ram,180.5,used,17.3,missing,,,,asus,missing,,missing,intel,core,i5,8.0,0,missing
171,"acer spin 311 r721t series black 11.6"" convertible touchscreen 32gb chromebook",99.99,open box,11.6,black,4.0,32.0,1.8,acer,1366x768,32.0,emmc,amd,a,6,,1,chrome os
172,"samsung np900x5n  15"" fhd i7-7500u@2.70 ghz 8gb ram 256gb m.2 ssd i  28193wk",122.5,used,15.0,silver,8.0,256.0,2.7,samsung,1920x1080,256.0,ssd,intel,core,i7,7.0,1,linux
173,dell latitude e7470 core i7-66000u 2.6 ghz 16 gb 256 gb ssd windows 10 pro,199.99,used,14.0,missing,16.0,256.0,2.6,dell,1920x1080,256.0,ssd,intel,core,i7,6.0,1,windows
174,"lenovo thinkpad x1 carbon 6th 14"" touchscreen i7 8650u 16gb 256gb w10p-good",391.29,good - refurbished,14.0,black,16.0,256.0,1.9,lenovo,1920x1080,,ssd,intel,core,i7,8.0,1,windows
175,"dell latitude e5580 15.6"" hd intel core i5-7300 2.6ghz 16gb 512gb w10 p",259.99,certified - refurbished,15.6,black,16.0,512.0,2.6,dell,1366x768,512.0,ssd,intel,core,i5,7.0,0,windows
176,dell latitude 5580 laptop boots core i5-6300u @2.4ghz 32gb ddr4 ram no os no ssd,77.0,used,15.6,missing,,,,dell,missing,,missing,intel,core,i5,6.0,0,missing
177,"hp red 15-bs244wm touchscreen complete assembly  15.6""",76.0,used,15.6,red,,,,hp,1366x768,,missing,intel,pentium,,,1,no os
178,"dell latitude e5450 14"" laptop i5 5th gen 256gb ssd 8gb ram win 10 pro (z3e2) c",179.95,good - refurbished,14.0,black,8.0,256.0,,dell,1366x768,,ssd,intel,core,i5,5.0,1,windows
179,dell latitude e5470 laptop boots core i5-6300u @2.4ghz 8gb ram no hdd no os,61.0,used,14.0,missing,,,,dell,missing,,missing,intel,core,i5,6.0,0,missing
180,"lenovo 20ljs0l000 thinkpad x380 yoga 13.3"" (120gb ssd, intel core i7 8th...",220.0,used,13.3,black,16.0,120.0,,lenovo,missing,,ssd,intel,core,i7,8.0,1,windows
181,dell latitude e5430 laptop boots core i5-3320m @2.6 4gb ram 320gb hdd no os,26.0,used,14.0,missing,,,,dell,missing,,missing,intel,core,i5,3.0,0,missing
182,"dell precision 7520 15.6"" i7-7820hq 2.90ghz 16gb ram 512gb ssd quadro m2200",349.0,used,15.6,black,16.0,512.0,2.9,dell,1920x1080,512.0,ssd,intel,core,i7,7.0,1,windows
183,hp zbook 15u g3 laptop i7-6500u 2.50ghz 16gb ram 512gb win10 pro,150.0,used,15.6,black,16.0,512.0,2.5,hp,1920x1080,512.0,ssd,intel,core,i7,6.0,0,windows
184,"lenovo thinkpad 15.6"" core i7 4800mq 2.7ghz 16gb ram 1tb ssd win 10 pro",200.0,open box,15.6,black,16.0,1000.0,2.7,lenovo,1920x1080,1000.0,ssd,intel,core,i7,4.0,1,windows
185,dell latitude e5450 laptop boots intel core i5-5300u @2.3ghz 8gb ram no hdd/os,41.0,used,14.0,missing,,,,dell,missing,,missing,intel,core,i5,5.0,0,missing
186,dell latitude 5280 12.5” touch i5-7300u 8gb 128gb win10 laptop notebook new!,185.0,open box,12.0,black,8.0,128.0,2.6,dell,1366x768,128.0,ssd,intel,core,i5,7.0,1,windows
187,"alienware m15 r6 15.6 inch (1tb, intel core m, 2.30 ghz, 32gb) notebook/laptop -",989.99,used,15.6,black,32.0,1000.0,2.3,alienware,1920x1080,1000.0,ssd,intel,core,m,,1,windows
188,hp probook 4540s laptop w/ intel core i3-3110m 2.40 ghz + 4 gb | no hd / os a,45.0,used,15.6,silver,4.0,,2.4,hp,missing,0.0,missing,intel,core,I3,3.0,0,missing
189,dell latitude 5580 laptop boots core i5-6300u @2.4 ghz 8gb ddr4 ram no os no ssd,70.0,used,15.6,missing,,,,dell,missing,,missing,intel,core,i5,6.0,0,missing
190,dell latitude e5450 laptop boots core i5-5200u @2.2ghz 8gb ram no hdd no os,52.99,used,14.0,missing,,,,dell,missing,,missing,intel,core,i5,5.0,0,missing
191,lenovo p51 with i7-7700 ghz  512 ssd 64gb ram windows 10 pro updated,450.0,used,15.6,missing,,512.0,2.7,lenovo,missing,,ssd,intel,core,i7,7.0,0,windows
192,"lenovo thinkpad yoga 11e 11.6"" laptop intel celeron n2940 1.83ghz 4gb ram 320gb",19.99,used,11.6,black,4.0,,1.83,lenovo,missing,320.0,hdd,intel,celeron,n,,0,no os
193,"laptop dell inspiron 15 3000 3511, 15.6"" fhd touchscreen, intel core i5-1035g1",231.5,used,15.6,black,8.0,256.0,1.0,dell,1920x1200,0.0,ssd,intel,core,i5,10.0,1,windows
194,"microsoft surface pro x 13"" 256gb ssd 8gb ram microsoft sq1 w/ adreno 685 (i18)",213.5,used,13.0,black,,256.0,,microsoft,missing,,missing,microsoft,sq,1,,1,missing
195,"lenovo thinkpad x1 carbon gen 9 14"" i7-1185g7 wquxga hdr 16gb 1tb ssd win 10 pro",1000.0,used,14.0,black,16.0,1000.0,3.0,lenovo,3840x2400,1000.0,ssd,intel,core,i7,11.0,1,windows
196,dell latitude 5570 intel core i5-6200u @ 2.30ghz 8gb ram 500gb hdd,62.01,used,15.6,missing,8.0,,2.3,dell,1366x768,500.0,hdd,intel,core,i5,6.0,0,windows
197,"lenovo thinkpad x1 carbon gen 9 14"" i7-1185g7 wquxga hdr 16gb 1tb ssd win 10 pro",909.0,used,14.0,black,16.0,1000.0,3.0,lenovo,3840x2400,1000.0,ssd,intel,core,i7,11.0,1,windows
198,"13"" dell xps 13-l322x laptop | i7-3537u @ 2.0ghz | 8gb ram | 256gb ssd | win10",149.95,used,13.3,black,8.0,256.0,,dell,missing,256.0,ssd,intel,core,i7,3.0,1,windows
199,"lenovo thinkpad p52s 15.6"" laptop intel i7-8550u 1.80ghz 32gb ram 512gb ssd p500",285.0,used,15.6,black,32.0,512.0,1.8,lenovo,1920x1080,,ssd,intel,core,i7,8.0,1,windows
200,"microsoft surface book 3 15"" i7-1065g7 32gb 512 nvidia quadro rtx 3000 6gb gpu",790.0,used,15.0,missing,32.0,512.0,1.3,microsoft,3000x2000,512.0,ssd,intel,core,i7,10.0,1,windows
201,"microsoft surface book 3 15"" i7-1065g7 32gb 512 geforce gtx 1660 ti 6gb gpu",800.0,used,15.0,missing,,512.0,1.3,microsoft,3000x2000,512.0,ssd,intel,core,i7,10.0,1,windows
202,"hp elitebook 840 g3 14"" core i5-6300u 2.4ghz 32gb 1tb fhd webcam win 10 laptop",225.0,good - refurbished,14.0,missing,32.0,1000.0,2.4,hp,1920x1080,,hdd,intel,core,i5,6.0,1,windows
203,hp pavilion x360 14m-ba011dx  14'' laptop intel core i5-7200u 8gb ram 128ssd,239.99,used,14.0,silver,8.0,256.0,2.5,hp,1920x1080,,ssd,intel,core,i5,11.0,1,missing
204,"lenovo thinkpad t470s intel core i7-7600u 2.8ghz 24gb 1tb ssd 14"" fhd",143.5,used,14.0,missing,,1000.0,2.8,lenovo,missing,0.0,ssd,intel,core,i7,7.0,0,no os
205,microsoft surface pro 3 4gb ram intel core i3-4020y cpu @ 1.50 ghz 64 gb ssd,75.0,used,12.0,silver,4.0,64.0,1.5,microsoft,missing,4.0,ssd,intel,core,i3,4.0,0,windows
206,microsoft surface pro 3 bundle with otterbox & type cover keyboard -windows 10,96.0,open box,12.0,silver,4.0,128.0,1.9,microsoft,2160x1440,128.0,ssd,intel,core,i5,4.0,1,windows
207,dell latitude 7290 laptop boots intel core i5-8350u @1.7ghz 16gb ram 256gb ssd,98.0,used,12.5,missing,,,,dell,missing,,missing,intel,core,i5,8.0,0,missing
208,acer chromebook cb3-431 celeron 1.6ghz n3160 4gb ram,8.5,used,13.3,silver,4.0,,1.6,acer,missing,4.0,missing,intel,celeron,n,,0,chrome os
209,"dell latitude 14"" 7410 intel i5-10310u @ 1.70ghz 8gb ddr4 ram 256gb ssd no os",201.99,used,14.0,gray,8.0,256.0,1.7,dell,missing,,ssd,intel,core,i5,10.0,0,missing
210,"dell inspiron 5755 17.3"" touchscreen laptop amd a8-7410 2.2ghz 8g ddr3l 500gb hd",51.85,used,17.3,multicolor,8.0,,2.2,dell,missing,500.0,hdd,amd,a,8,,0,no os
211,lenovo thinkpad e570 i5-7200u 4xcpu@2.7ghz 16gb ram 256gb ssd(6-29-3),85.0,used,15.6,black,16.0,256.0,2.7,lenovo,missing,256.0,ssd,intel,core,i5,7.0,1,windows
212,dell latitude e7450 laptop boots core i5-5300u @2.3ghz 8gb ddr3 ram no os no ssd,56.0,used,14.0,missing,,,,dell,missing,,missing,intel,core,i5,5.0,0,missing
213,hp probook 640 g1 i5-4300m 2.6ghz 8gb 120gb ssd win10 laptop notebook pc,55.0,used,14.0,missing,8.0,120.0,2.6,hp,missing,120.0,ssd,intel,core,i5,4.0,0,windows
214,"lenovo thinkpad x1 carbon gen 10 14.0"" 2.8k oled i7-1270p 32gb 256gb ssd ir",1449.0,certified - refurbished,14.0,black,32.0,256.0,4.8,lenovo,2880x1800,256.0,ssd,intel,core,i7,12.0,1,windows
215,"excellent working leovo thinkpad t440s intel i5 250gb hd,  wow !!!",85.0,used,14.0,black,8.0,250.0,2.5,lenovo,missing,250.0,ssd,intel,core,i5,,0,windows
216,"dell xps 13 7390 13"" uhd 4k touch i7-10710u 1tb ssd 16gb w10p webcam, backlit",410.0,used,13.0,missing,16.0,1000.0,1.1,dell,3840x2160,1000.0,ssd,intel,core,i7,10.0,1,windows
217,lenovo thinkpad t460s i5-6300u cpu 2.4ghz 8gb ram 128gb ssd windows 10 / grade-b,130.0,used,14.0,black,8.0,128.0,2.4,lenovo,1920x1080,128.0,ssd,intel,core,i5,6.0,0,windows
218,hp elitebook x360 1030 g4 2-in-1 i7 8565u 1.8ghz quad 16gb 256ssd touch 10pro,308.23,used,,missing,,,,hp,missing,,missing,missing,,,,0,missing
219,"dell latitude 7212 rugged extreme  (i7-7600u 2.70ghz, ram 16 gb, 256 gb ssd)",375.0,used,12.0,black,16.0,256.0,2.7,dell,1920x1080,,ssd,intel,core,i7,7.0,1,windows
220,hp 15-dw0081wm 15.6 in 500 gb intel pentium 2.70 ghz 4gb laptop - red - r133,180.0,open box,15.6,red,4.0,500.0,2.7,hp,1366x768,500.0,missing,intel,pentium,,,1,windows
221,a lot of 10 dell latitude e7470 i7-6600u 2.60ghz 8gb ram 512gb ssd no os,999.95,used,14.0,black,8.0,512.0,2.6,dell,missing,256.0,ssd,intel,core,i7,6.0,1,no os
222,"dell latitude e7450 14""/intel i7-5600u/8gb ram/128gb ssd e-port docking station",52.0,used,14.0,missing,8.0,128.0,2.6,dell,1366x768,128.0,ssd,intel,core,i7,5.0,0,windows
223,"lenovo thinkpad x1 yoga 3rd gen i5-8350u@1.7ghz, 8gb ram, 256gb ssd, win 10 pro",180.0,used,14.0,black,8.0,256.0,1.7,lenovo,1920x1080,256.0,ssd,intel,core,i5,8.0,1,windows
224,dell latitude e7450 laptop boots core i5-5300u @2.3ghz 8gb ddr3 ram no os no ssd,56.0,used,14.0,missing,,,,dell,missing,,missing,intel,core,i5,5.0,0,missing
225,hp probook 640 g1 i5-4300m 2.6ghz 8gb 120gb ssd win10 laptop notebook pc,55.0,used,14.0,missing,8.0,120.0,2.6,hp,missing,120.0,ssd,intel,core,i5,4.0,0,windows
226,"lenovo thinkpad x1 carbon gen 10 14.0"" 2.8k oled i7-1270p 32gb 256gb ssd ir",1449.0,certified - refurbished,14.0,black,32.0,256.0,4.8,lenovo,2880x1800,256.0,ssd,intel,core,i7,12.0,1,windows
227,"excellent working leovo thinkpad t440s intel i5 250gb hd,  wow !!!",85.0,used,14.0,black,8.0,250.0,2.5,lenovo,missing,250.0,ssd,intell,core,i5,,0,windows
228,"dell xps 13 7390 13"" uhd 4k touch i7-10710u 1tb ssd 16gb w10p webcam, backlit",410.0,used,13.0,missing,16.0,1000.0,1.1,dell,3840x2160,1000.0,ssd,intel,core,i7,10.0,1,windows
229,lenovo thinkpad t460s i5-6300u cpu 2.4ghz 8gb ram 128gb ssd windows 10 / grade-b,130.0,used,14.0,black,8.0,128.0,2.4,lenovo,1920x1080,128.0,ssd,intel,core,i5,6.0,0,windows
230,hp elitebook x360 1030 g4 2-in-1 i7 8565u 1.8ghz quad 16gb 256ssd touch 10pro,308.23,used,,missing,,,,hp,missing,,missing,missing,,,,0,missing
231,"dell latitude 7212 rugged extreme  (i7-7600u 2.70ghz, ram 16 gb, 256 gb ssd)",375.0,used,12.0,black,16.0,256.0,2.7,dell,1920x1080,,ssd,intel,core,i7,7.0,1,windows
232,hp 15-dw0081wm 15.6 in 500 gb intel pentium 2.70 ghz 4gb laptop - red - r133,180.0,open box,15.6,red,4.0,500.0,2.7,hp,1366x768,500.0,missing,intel,pentium,,,1,windows
233,a lot of 10 dell latitude e7470 i7-6600u 2.60ghz 8gb ram 512gb ssd no os,999.95,used,14.0,black,8.0,512.0,2.6,dell,missing,256.0,ssd,intel,core,i7,6.0,1,no os
234,"dell latitude e7450 14""/intel i7-5600u/8gb ram/128gb ssd e-port docking station",52.0,used,14.0,missing,8.0,128.0,2.6,dell,1366x768,128.0,ssd,intel,core,i7,5.0,0,windows
235,"lenovo thinkpad x1 yoga 3rd gen i5-8350u@1.7ghz, 8gb ram, 256gb ssd, win 10 pro",180.0,used,14.0,black,8.0,256.0,1.7,lenovo,1920x1080,256.0,ssd,intel,core,i5,8.0,1,windows
236,lenovo flex 5g 128gb ideapad flex snapdragon touchscreen laptop (fe1063594),253.0,used,13.0,missing,5.0,128.0,2.5,lenovo,missing,2002.0,missing,missing,,,,0,windows
237,lenovo ideapad 320 i7-7500u 256gb ssd 12gb ram win 10 home nvidia 940 mx,148.5,used,15.6,black,12.0,256.0,,lenovo,missing,,ssd,intel,core,i7,7.0,0,windows
238,"14"" hp elitebook 840 g2 intel core i5-5300u 2.3 ghz 16 gb ram 256 gb ssd",74.99,used,14.0,missing,16.0,256.0,2.3,hp,1366x768,,ssd,intel,core,i5,5.0,0,windows
239,dell latitude inspiron 5570 touch i3-8130u 4xcpu@2.2ghz 12gb ram 1tb hdd(6-29-2),71.0,used,15.6,black,12.0,1000.0,2.2,dell,missing,1000.0,hdd,intel,core,i3,8.0,1,windows
240,"dell inspiron 16 plus 7620 16"" laptop computer intel core i7-12700h 1tb ssd",700.0,used,16.0,missing,32.0,1000.0,2.6,dell,missing,,ssd,intel,core,i7,12.0,0,windows
241,lenovo thinkpad t460s laptop boots core i5-6200u 8gb ram 256gb ssd bios lock,61.0,used,14.0,missing,,,,lenovo,missing,,missing,intel,core,i5,6.0,0,missing
242,dell latitude 5310 laptop boots core i7-10610u @ 1.80 16gb ram 128gb ssd,232.5,used,13.3,missing,,,,dell,missing,,missing,intel,core,i7,10.0,0,missing
243,"lenovo thinkpad e490 14"" (256gb m.2 intel core i7 8th gen., 16gb win 11 pro!",199.0,used,14.0,black,16.0,256.0,1.8,lenovo,1920x1080,256.0,ssd,intel,core,i7,8.0,1,windows
244,microsoft surface pro 6 core i7-8650u @1.9ghz 16gb ram 512gb ssd windows 10,295.0,used,12.3,missing,,,,microsoft,missing,,missing,intel,core,i7,8.0,0,missing
245,dell latitude 3440 laptop boots intel core i5-4210u @ 1.70 8gb ram 500gb hdd,33.16,used,14.0,missing,,,,dell,missing,,missing,intel,core,i5,4.0,0,missing
246,hp elitebook 840 g2 laptop boots core i5-5300u @2.3ghz 8gb ddr3 ram no os no ssd,60.0,used,14.0,missing,,,,hp,missing,,missing,intel,core,i5,5.0,0,missing
247,microsoft surface pro 3 core i7-4650u @ 1.70ghz 8gb ram 256gb ssd win 10 pro,72.0,used,12.3,missing,,,,microsoft,missing,,missing,intel,core,i7,4.0,0,missing
248,dell latitude e6440 laptop boots intel core i5-4310m @ 2.70ghz 8gb ram 500gb hdd,41.0,used,14.0,missing,,,,dell,missing,,missing,intel,core,i5,4.0,0,missing
249,hp probook 650 g1 laptop boots intel core i3-4000m @ 2.40ghz 4gb ram no hdd,26.0,used,15.6,missing,,,,hp,missing,,missing,intel,core,I3,4.0,0,missing
250,dell latitude e5270 laptop boots core i5-6300u @ 2.40 8gb ram 500gb hdd no os,38.0,used,12.5,missing,,,,dell,missing,,missing,intel,core,i5,6.0,0,missing
251,dell latitude e6420 laptop boots core i7-2620m @ 2.70 4gb ram no hdd no os,27.5,used,14.0,missing,,,,dell,missing,,missing,intel,core,i7,2.0,0,missing
252,microsoft surface pro 6 core i7-8650u @1.9ghz 16gb ram 512gb ssd windows 10 pro,275.0,used,12.3,missing,,,,microsoft,missing,,missing,intel,core,i7,8.0,0,missing
253,microsoft surface laptop core i5-7300u @2.6ghz 8gb ram 256gb ssd windows 10 pro,92.0,used,13.5,missing,,,,microsoft,missing,,missing,intel,core,i5,7.0,0,missing
254,"hp 14-dq0080nr intel celeron n4120 14"" laptop computer 64gb - white",51.0,used,14.0,white,4.0,64.0,1.1,hp,1366x768,,emmc,intel,celeron,n,,1,windows
255,hp elitebook 820 g3 laptop boots core i5-6300u @ 2.4 ghz 8gb ram no os no ssd,57.0,used,12.5,missing,,,,hp,missing,,missing,intel,core,i5,6.0,0,missing
256,dell latitude e7440 laptop boots core i5-4310u @2.0ghz 4gb ddr3 ram no os no ssd,26.0,used,14.0,missing,,,,dell,missing,,missing,intel,core,i5,4.0,0,missing
257,asus vivobook x515 touch laptop boots intel core i5-1135g7 8gb ram 512gb ssd,216.5,used,15.6,missing,,,,asus,missing,,missing,intel,core,i5,11.0,0,missing
258,asus vivobook l410m laptop boots intel celeron n4020 @1.1ghz 4gb ram 64gb ssd,17.5,used,14.0,missing,,,,asus,missing,,missing,intel,celeron,n,,0,missing
259,lenovo thinkpad t450 laptop boots core i5-5300u @2.3 ghz 8gb ram 256gb ssd no os,58.0,used,14.0,missing,,,,lenovo,missing,,missing,intel,core,i5,5.0,0,missing
260,dell latitude e7440 laptop boots core i7-4600u @ 2.10 8gb ram 120gb hdd no os,43.0,used,14.0,missing,,,,dell,missing,,missing,intel,core,i7,4.0,0,missing
261,dell latitude 6430u laptop boots core i5-3427u 1.8ghz 4gb ram 128gb hdd no os,17.5,used,14.0,missing,,,,dell,missing,,missing,intel,core,i5,3.0,0,missing
262,dell latitude 3480 laptop boots core i3-7100u @2.4ghz 8gb ddr4 ram no hdd,55.0,used,14.0,missing,,,,dell,missing,,missing,intel,core,i3,7.0,0,missing
263,hp elitebook 840 g2 laptop boots core i5-5200u @ 2.2 ghz 8gb ram 256gb ssd no os,80.0,used,14.0,missing,,,,hp,missing,,missing,intel,core,i5,5.0,0,missing
264,dell latitude 5289 laptop boots intel core i7-7600u @2.8ghz 16gb ram no hdd/os,103.5,used,12.5,missing,,,,dell,missing,,missing,intel,core,i7,7.0,0,missing
265,hp probook 640 g3 laptop boots core i5-7200u @ 2.5 ghz 8gb ram 256gb ssd no os,68.0,used,14.0,missing,,,,hp,missing,,missing,intel,core,i5,7.0,0,missing
266,lenovo thinkpad e570 laptop boots core i5-6200u @2.3 ghz 8gb ram 500gb hdd no os,75.0,used,15.6,missing,,,,lenovo,missing,,missing,intel,core,i5,6.0,0,missing
267,lenovo thinkpad e550 laptop boots core i3-5005u @2ghz 8gb ram 500gb hdd no os,46.0,used,15.6,missing,,,,lenovo,missing,,missing,intel,core,I3,5.0,0,missing
268,dell latitude 7370 touch laptop boots intel core m5-6y54 @1.1ghz 8gb ram no hdd,51.0,used,13.3,missing,,,,dell,missing,,missing,intel,core,m,,0,missing
269,"lenovo legion y530-151ich i7-8750h 2.20ghz 15.6""  16gb  256gb ssd win 11 adapter",349.99,used,15.6,black,16.0,256.0,2.2,lenovo,1920x1080,256.0,ssd,intel,core,i7,8.0,1,windows
270,"dell latitude 5424 rugged (i7-8650u 1.90ghz, ram 16 gb, 512 gb ssd)",206.5,used,14.0,black,16.0,512.0,1.9,dell,1920x1080,,ssd,intel,core,i7,8.0,1,windows
271,dell latitude 3480 laptop boots core i3-7100u @2.4ghz 8gb ddr4 ram no hdd,55.0,used,14.0,missing,,,,dell,missing,,missing,intel,core,I3,7.0,0,missing
272,hp elitebook 840 g2 laptop boots core i5-5200u @ 2.2 ghz 8gb ram 256gb ssd no os,80.0,used,14.0,missing,,,,hp,missing,,missing,intel,core,i5,5.0,0,missing
273,dell latitude 5289 laptop boots intel core i7-7600u @2.8ghz 16gb ram no hdd/os,103.5,used,12.5,missing,,,,dell,missing,,missing,intel,core,i7,7.0,0,missing
